Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","4","Algeria","5510","Production","486","Bananas","2018","2018","tonnes","319","Im","FAO data based on imputation methodology"
"QC","Crops","5","American Samoa","5510","Production","486","Bananas","2018","2018","tonnes","844","Im","FAO data based on imputation methodology"
"QC","Crops","7","Angola","5510","Production","486","Bananas","2018","2018","tonnes","3492184","Im","FAO data based on imputation methodology"
"QC","Crops","8","Antigua and Barbuda","5510","Production","486","Bananas","2018","2018","tonnes","270","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","486","Bananas","2018","2018","tonnes","174585","Im","FAO data based on imputation methodology"
"QC","Crops","10","Australia","5510","Production","486","Bananas","2018","2018","tonnes","373931","","Official data"
"QC","Crops","12","Bahamas","5510","Production","486","Bananas","2018","2018","tonnes","9760","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","486","Bananas","2018","2018","tonnes","996","Im","FAO data based on imputation methodology"
"QC","Crops","16","Bangladesh","5510","Production","486","Bananas","2018","2018","tonnes","810347","","Official data"
"QC","Crops","14","Barbados","5510","Production","486","Bananas","2018","2018","tonnes","1046","Im","FAO data based on imputation methodology"
"QC","Crops","23","Belize","5510","Production","486","Bananas","2018","2018","tonnes","78692","","Official data"
"QC","Crops","53","Benin","5510","Production","486","Bananas","2018","2018","tonnes","22167","Im","FAO data based on imputation methodology"
"QC","Crops","17","Bermuda","5510","Production","486","Bananas","2018","2018","tonnes","326","Im","FAO data based on imputation methodology"
"QC","Crops","18","Bhutan","5510","Production","486","Bananas","2018","2018","tonnes","3000","F","FAO estimate"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","486","Bananas","2018","2018","tonnes","305950","","Official data"
"QC","Crops","21","Brazil","5510","Production","486","Bananas","2018","2018","tonnes","6752171","","Official data"
"QC","Crops","239","British Virgin Islands","5510","Production","486","Bananas","2018","2018","tonnes","479","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2018","2018","tonnes","1822","","Official data"
"QC","Crops","29","Burundi","5510","Production","486","Bananas","2018","2018","tonnes","1654955","","Official data"
"QC","Crops","35","Cabo Verde","5510","Production","486","Bananas","2018","2018","tonnes","9509","","Official data"
"QC","Crops","115","Cambodia","5510","Production","486","Bananas","2018","2018","tonnes","144403","Im","FAO data based on imputation methodology"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2018","2018","tonnes","1203440","Im","FAO data based on imputation methodology"
"QC","Crops","36","Cayman Islands","5510","Production","486","Bananas","2018","2018","tonnes","217","Im","FAO data based on imputation methodology"
"QC","Crops","37","Central African Republic","5510","Production","486","Bananas","2018","2018","tonnes","90530","Im","FAO data based on imputation methodology"
"QC","Crops","41","China","5510","Production","486","Bananas","2018","2018","tonnes","11221700","","Official data"
"QC","Crops","214","China, Taiwan Province of","5510","Production","486","Bananas","2018","2018","tonnes","356238","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2018","2018","tonnes","3707152","Im","FAO data based on imputation methodology"
"QC","Crops","45","Comoros","5510","Production","486","Bananas","2018","2018","tonnes","46777","Im","FAO data based on imputation methodology"
"QC","Crops","46","Congo","5510","Production","486","Bananas","2018","2018","tonnes","83059","Im","FAO data based on imputation methodology"
"QC","Crops","47","Cook Islands","5510","Production","486","Bananas","2018","2018","tonnes","30","Im","FAO data based on imputation methodology"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2018","2018","tonnes","2528788","*","Unofficial figure"
"QC","Crops","107","Côte d'Ivoire","5510","Production","486","Bananas","2018","2018","tonnes","397305","Im","FAO data based on imputation methodology"
"QC","Crops","49","Cuba","5510","Production","486","Bananas","2018","2018","tonnes","271925","","Official data"
"QC","Crops","50","Cyprus","5510","Production","486","Bananas","2018","2018","tonnes","5460","","Official data"
"QC","Crops","250","Democratic Republic of the Congo","5510","Production","486","Bananas","2018","2018","tonnes","309916","Im","FAO data based on imputation methodology"
"QC","Crops","55","Dominica","5510","Production","486","Bananas","2018","2018","tonnes","26767","Im","FAO data based on imputation methodology"
"QC","Crops","56","Dominican Republic","5510","Production","486","Bananas","2018","2018","tonnes","1175710","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2018","2018","tonnes","6505635","","Official data"
"QC","Crops","59","Egypt","5510","Production","486","Bananas","2018","2018","tonnes","1388199","Im","FAO data based on imputation methodology"
"QC","Crops","60","El Salvador","5510","Production","486","Bananas","2018","2018","tonnes","17249","","Official data"
"QC","Crops","61","Equatorial Guinea","5510","Production","486","Bananas","2018","2018","tonnes","31170","Im","FAO data based on imputation methodology"
"QC","Crops","209","Eswatini","5510","Production","486","Bananas","2018","2018","tonnes","6857","Im","FAO data based on imputation methodology"
"QC","Crops","238","Ethiopia","5510","Production","486","Bananas","2018","2018","tonnes","508013","Im","FAO data based on imputation methodology"
"QC","Crops","66","Fiji","5510","Production","486","Bananas","2018","2018","tonnes","4888","","Official data"
"QC","Crops","69","French Guyana","5510","Production","486","Bananas","2018","2018","tonnes","8000","F","FAO estimate"
"QC","Crops","70","French Polynesia","5510","Production","486","Bananas","2018","2018","tonnes","188","Im","FAO data based on imputation methodology"
"QC","Crops","74","Gabon","5510","Production","486","Bananas","2018","2018","tonnes","19216","Im","FAO data based on imputation methodology"
"QC","Crops","81","Ghana","5510","Production","486","Bananas","2018","2018","tonnes","94268","Im","FAO data based on imputation methodology"
"QC","Crops","84","Greece","5510","Production","486","Bananas","2018","2018","tonnes","2459","Im","FAO data based on imputation methodology"
"QC","Crops","86","Grenada","5510","Production","486","Bananas","2018","2018","tonnes","2244","Im","FAO data based on imputation methodology"
"QC","Crops","87","Guadeloupe","5510","Production","486","Bananas","2018","2018","tonnes","58146","Im","FAO data based on imputation methodology"
"QC","Crops","88","Guam","5510","Production","486","Bananas","2018","2018","tonnes","354","Im","FAO data based on imputation methodology"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2018","2018","tonnes","4026547","Im","FAO data based on imputation methodology"
"QC","Crops","90","Guinea","5510","Production","486","Bananas","2018","2018","tonnes","237350","Im","FAO data based on imputation methodology"
"QC","Crops","175","Guinea-Bissau","5510","Production","486","Bananas","2018","2018","tonnes","9087","Im","FAO data based on imputation methodology"
"QC","Crops","91","Guyana","5510","Production","486","Bananas","2018","2018","tonnes","16802","","Official data"
"QC","Crops","93","Haiti","5510","Production","486","Bananas","2018","2018","tonnes","262391","Im","FAO data based on imputation methodology"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2018","2018","tonnes","671251","","Official data"
"QC","Crops","100","India","5510","Production","486","Bananas","2018","2018","tonnes","30808000","","Official data"
"QC","Crops","101","Indonesia","5510","Production","486","Bananas","2018","2018","tonnes","7264383","","Official data"
"QC","Crops","102","Iran (Islamic Republic of)","5510","Production","486","Bananas","2018","2018","tonnes","131170","Im","FAO data based on imputation methodology"
"QC","Crops","105","Israel","5510","Production","486","Bananas","2018","2018","tonnes","135000","","Official data"
"QC","Crops","106","Italy","5510","Production","486","Bananas","2018","2018","tonnes","337","Im","FAO data based on imputation methodology"
"QC","Crops","109","Jamaica","5510","Production","486","Bananas","2018","2018","tonnes","66381","","Official data"
"QC","Crops","110","Japan","5510","Production","486","Bananas","2018","2018","tonnes","51","Im","FAO data based on imputation methodology"
"QC","Crops","112","Jordan","5510","Production","486","Bananas","2018","2018","tonnes","42098","Im","FAO data based on imputation methodology"
"QC","Crops","114","Kenya","5510","Production","486","Bananas","2018","2018","tonnes","1414176","","Official data"
"QC","Crops","83","Kiribati","5510","Production","486","Bananas","2018","2018","tonnes","8339","Im","FAO data based on imputation methodology"
"QC","Crops","118","Kuwait","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available"
"QC","Crops","120","Lao People's Democratic Republic","5510","Production","486","Bananas","2018","2018","tonnes","970985","","Official data"
"QC","Crops","121","Lebanon","5510","Production","486","Bananas","2018","2018","tonnes","71625","Im","FAO data based on imputation methodology"
"QC","Crops","123","Liberia","5510","Production","486","Bananas","2018","2018","tonnes","141679","Im","FAO data based on imputation methodology"
"QC","Crops","124","Libya","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available"
