Country;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 
AT;11.0 b;9.8 ;9.4 b;8.5 ;10.7 ;9.5 ;8.9 ;9.4;9.7;10.3 ;10.6 ;11.2 ;9.8 ;9.4 ;8.5
BE;21.5 b;20.5 ;18.8 ;18.0 ;21.9 ;22.4 ;18.7 b;19.8;23.7;23.2 ;22.1 ;20.1 ;19.3 b;15.8 ;14.2
BG;22.3 b;19.5 ;15.1 ;12.7 b;16.2 ;21.9 b;25.0 b;28.1;28.4;23.8 ;21.6 ;17.2 ;12.9 ;12.7 ;8.9
CH;8.8 b;7.7 ;7.1 ;7.0 ;8.5 ;8.2 b;7.7 ;8.3;8.7;8.6 ;8.8 ;8.6 ;8.1 ;7.9 ;8.0
CY;13.9 b;10.0 ;10.2 ;9.0 ;13.8 b;16.6 ;22.4 ;27.7;38.9;36.0 ;32.8 ;29.1 ;24.7 ;20.2 ;16.6
CZ;19.2 b;17.5 ;10.7 ;9.9 ;16.6 ;18.3 ;18.1 b;19.5;19.0;15.9 ;12.6 ;10.5 ;7.9 ;6.7 ;5.6
DE;15.5 b;13.8 ;11.9 ;10.6 ;11.2 ;9.8 b;8.5 b;8.0;7.8;7.7 ;7.2 ;7.1 ;6.8 ;6.2 ;5.8
DK;8.6 b;7.7 ;7.5 ;9.5 b;13.5 ;15.6 ;16.4 ;15.8;14.8;14.2 ;12.2 ;12.2 b;12.4 b;10.5 ;10.1
EA19;18.2 b;16.9 ;15.3 ;15.8 ;20.4 ;21.2 ;21.2 ;23.5;24.2;23.7 ;22.4 ;20.9 ;18.8 ;16.9 ;15.7
EE;15.1 b;12.1 ;10.1 ;12.0 ;27.4 ;32.9 ;22.4 ;20.9;18.7;15.0 ;13.1 ;13.4 ;12.1 ;11.8 ;11.1
EL;25.8 b;25.0 ;22.7 ;21.9 ;25.7 b;33.0 ;44.7 ;55.3;58.3;52.4 ;49.8 ;47.3 ;43.6 ;39.9 ;35.2
